,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,y_train
0,-0.10521459357478402,0.978336781043653,-0.08574929257125448,-0.5011402523360263,-0.6082762530298205,1.0642995757499383,0.8852578329122509,-0.94422089188311,-1.0314512203153838,-1.0106799753771616,26.0
1,-0.10521459357478402,0.978336781043653,-0.08574929257125448,-0.5011402523360263,-0.6082762530298205,-0.5633362405597343,0.0521256264198489,-0.08301822063117104,-0.6031905534805785,0.4412935638616501,21.6
2,-0.10521459357478402,0.978336781043653,-0.08574929257125448,-0.5011402523360263,-0.6082762530298205,-0.5633362405597343,0.30568760230884046,-1.6337057087859113,-1.130426621647794,-1.4079400827016006,36.1
3,-0.10521459357478402,0.978336781043653,-0.08574929257125448,-0.5011402523360263,-0.6082762530298205,1.3355722118015503,1.7908363182300788,-1.3426170028543294,-1.130426621647794,-0.9697813495614099,26.0
4,-0.10521459357478402,0.978336781043653,-0.08574929257125448,-0.5011402523360263,-0.6082762530298205,-1.6484267847661827,0.015902487007135913,-0.08932784775413878,-0.33330640741058754,-0.3846663478924668,27.0
5,-0.10521459357478402,0.978336781043653,-0.08574929257125448,-0.5011402523360263,-0.6082762530298205,-0.020790968456510135,0.30568760230884046,-0.9993847611816928,-1.0122759310611165,-0.7736756353323074,28.0
6,-0.10521459357478402,-1.0221429055679958,-0.08574929257125448,-0.5011402523360263,1.6439898730535687,1.3355722118015503,-1.2881305318505363,1.7827949574070223,1.6092832486094415,1.5522940916141015,13.0
7,-0.10521459357478402,0.978336781043653,-0.08574929257125448,-0.5011402523360263,-0.6082762530298205,-0.29206360450812224,0.9577041117376769,-0.8239495141458277,-1.0122759310611165,-0.7736756353323074,26.0
8,-0.10521459357478402,-1.0221429055679958,-0.08574929257125448,1.9954493683925412,-0.6082762530298205,0.25048166759510193,0.16079504465798852,0.4636178390726059,0.5446300942779855,-0.10176288320401375,19.0
9,-0.10521459357478402,0.978336781043653,-0.08574929257125448,-0.5011402523360263,-0.6082762530298205,0.7930269396983262,1.4286049241029477,-1.5049196126753261,-1.6695436609439516,-1.9835961556600348,29.0
10,-0.10521459357478402,-1.0221429055679958,-0.08574929257125448,-0.5011402523360263,1.6439898730535687,1.6068448478531623,-2.210009429904085,1.045487450561252,1.5624352057308746,1.8684424435203058,15.0
11,-0.10521459357478402,-1.0221429055679958,-0.08574929257125448,1.9954493683925412,-0.6082762530298205,-0.020790968456510135,-0.020320652405577077,0.08320647471928404,-0.1330681144108578,0.2627879396387081,19.0
